time,incorrect_classification,parameters,notes
34.7629,0.9,0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 0 2 2 2 1 0 2 2 0 0 0 0 0 2 2 1 1 1 1 0 0 1 1 1 2 31 0 0 1 1 0 0 0 0 0,ORIGINAL
29.450000,0.9,0 0 0 0 0 1 1 1 0 1 1 0 0 1 0 1 0 2 2 2 1 0 2 2 0 0 0 0 0 2 2 1 1 1 1 0 0 1 1 1 2 31 0 0 1 0 0 0 0 0 0,
24.630000,1,0 0 0 0 0 1 1 1 1 1 1 0 0 1 0 1 0 2 2 2 1 0 2 2 0 0 0 0 0 2 2 1 0 1 1 0 0 1 1 1 2 31 0 0 1 0 0 0 0 0 0,
19.560000,2.13333,0 0 0 0 0 1 1 2 0 1 1 0 0 1 0 1 0 2 2 2 1 0 2 2 0 0 0 0 0 2 2 1 3 1 1 0 0 1 0 1 2 31 0 0 1 0 0 0 0 0 0,
12.350000,3.7,0 0 0 0 0 0 1 1 0 1 2 0 0 1 0 1 0 2 2 2 1 0 2 2 0 0 0 0 0 2 2 0 0 1 1 0 0 1 1 2 2 31 0 0 1 0 0 0 0 0 0,
11.230000,6,0 0 0 0 0 1 1 1 2 0 1 0 0 1 0 1 0 2 2 2 1 0 2 2 0 0 0 0 0 2 2 1 1 1 1 0 0 1 0 2 2 25 0 0 1 0 0 0 0 0 0,
8.780000,19.5,0 0 0 0 0 1 1 1 0 1 2 0 0 1 0 1 0 2 2 2 1 0 2 2 0 0 0 0 0 2 2 1 1 1 1 0 0 1 1 2 2 31 0 0 1 0 1 0 0 0 0,
8.060000,32.9,0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 2 2 2 1 0 2 2 0 1 0 0 0 2 1 1 1 1 1 0 0 1 0 5 2 31 0 0 1 0 0 0 0 0 3,
7.640000,36.3667,0 0 0 0 0 0 1 2 0 0 1 0 0 1 0 1 0 2 2 2 1 0 2 2 0 1 0 0 0 2 1 1 0 1 1 0 0 1 0 5 2 31 0 0 1 0 0 0 0 0 10,
7.570000,45.9333,0 0 0 0 0 1 1 1 2 1 1 0 0 1 0 1 0 2 2 2 1 0 2 2 0 0 0 0 0 2 2 1 1 1 1 0 0 1 1 5 1 31 0 0 1 0 0 0 0 0 0,
6.090000,50,0 0 0 0 0 0 1 1 0 0 8 0 0 1 0 1 0 2 2 2 1 0 2 2 0 0 4 0 0 2 2 1 6 1 11 0 0 1 1 5 2 31 0 0 1 0 1 0 0 0 2,
